age,sex,province,education,vote_liberal
48,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
72,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
73,Female,Ontario,"University certificate, diploma or degree above the bach...",0
29,Male,Ontario,Less than high school diploma or its equivalent,0
60,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Male,Ontario,"University certificate, diploma or degree above the bach...",0
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
61,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
62,Female,Ontario,University certificate or diploma below the bachelor's level,0
34,Female,British Columbia,High school diploma or a high school equivalency certificate,0
24,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
31,Male,Quebec,High school diploma or a high school equivalency certificate,0
34,Male,Quebec,High school diploma or a high school equivalency certificate,1
48,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
64,Male,Ontario,High school diploma or a high school equivalency certificate,0
32,Male,Alberta,"College, CEGEP or other non-university certificate or di...",1
64,Male,Quebec,High school diploma or a high school equivalency certificate,0
76,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
75,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
68,Female,Ontario,University certificate or diploma below the bachelor's level,1
47,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
31,Female,Ontario,University certificate or diploma below the bachelor's level,1
69,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
28,Female,Ontario,High school diploma or a high school equivalency certificate,0
39,Male,Ontario,Less than high school diploma or its equivalent,0
61,Male,Ontario,High school diploma or a high school equivalency certificate,0
45,Female,Quebec,"University certificate, diploma or degree above the bach...",0
81,Male,Ontario,High school diploma or a high school equivalency certificate,1
68,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",0
59,Female,Quebec,University certificate or diploma below the bachelor's level,1
69,Male,Ontario,High school diploma or a high school equivalency certificate,0
64,Male,Ontario,High school diploma or a high school equivalency certificate,0
54,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
34,Male,Ontario,"University certificate, diploma or degree above the bach...",0
70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
35,Male,Ontario,High school diploma or a high school equivalency certificate,0
71,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
39,Male,Quebec,High school diploma or a high school equivalency certificate,1
48,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",0
39,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
39,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
51,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
64,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
56,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
63,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
72,Male,Ontario,High school diploma or a high school equivalency certificate,1
82,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
49,Female,Quebec,High school diploma or a high school equivalency certificate,1
35,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
50,Female,Ontario,University certificate or diploma below the bachelor's level,1
66,Male,Ontario,Less than high school diploma or its equivalent,1
43,Male,Quebec,High school diploma or a high school equivalency certificate,0
32,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",0
69,Male,Ontario,High school diploma or a high school equivalency certificate,0
67,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
56,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
61,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
30,Female,Ontario,"University certificate, diploma or degree above the bach...",0
47,Male,British Columbia,"University certificate, diploma or degree above the bach...",1
44,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
45,Male,Quebec,"University certificate, diploma or degree above the bach...",0
40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
46,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
41,Male,Quebec,High school diploma or a high school equivalency certificate,0
57,Male,Ontario,High school diploma or a high school equivalency certificate,0
33,Male,Ontario,"University certificate, diploma or degree above the bach...",1
67,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
55,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
75,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
55,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
19,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
67,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
68,Female,Quebec,High school diploma or a high school equivalency certificate,1
68,Male,Alberta,High school diploma or a high school equivalency certificate,0
40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
35,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
61,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
57,Female,Ontario,High school diploma or a high school equivalency certificate,1
45,Male,Northwest Territories,"University certificate, diploma or degree above the bach...",1
19,Female,Ontario,University certificate or diploma below the bachelor's level,1
45,Male,Quebec,University certificate or diploma below the bachelor's level,0
70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
55,Female,Ontario,"College, CEGEP or other non-university certificate or di...",0
65,Male,Quebec,"College, CEGEP or other non-university certificate or di...",1
62,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
70,Female,Ontario,High school diploma or a high school equivalency certificate,0
36,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
56,Female,Quebec,High school diploma or a high school equivalency certificate,0
72,Female,Ontario,"University certificate, diploma or degree above the bach...",0
59,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
52,Female,Quebec,High school diploma or a high school equivalency certificate,0
62,Female,Quebec,High school diploma or a high school equivalency certificate,1
58,Male,Ontario,High school diploma or a high school equivalency certificate,1
34,Male,Quebec,High school diploma or a high school equivalency certificate,0
